fips,dem_share_pct,gop_share_pct
13307,40.72,59.13
13309,27.33,72.41
13311,15.51,84.02
13313,27.5,71.95
13315,25.31,74.48
13317,41.43,58.28
13319,40.99,58.84
13321,24.71,75.1
15001,62.98,34.71
15003,59.93,38.28
15007,58.79,39.26
15009,61.86,35.97
16001,43.43,53.77
16003,21.54,76.04
16005,35.79,60.87
16007,10.41,87.46
16009,18.18,79.59
16011,18.79,78.42
16013,64.37,32.71
16015,21.69,75.91
16017,25.76,71.9
16019,25.63,70.99
16021,16.1,81.49
16023,12.38,84.87
16025,21.02,75.14
16027,25.41,72.03
16029,12.88,84.09
16031,14.22,83.28
16033,15.02,84.08
16035,17.52,80.35
16037,22.11,75.4
16039,24.47,73.0
16041,9.79,87.4
16043,14.02,82.98
16045,16.0,81.99
16047,18.59,79.01
16049,14.81,82.65
16051,11.95,85.22
16053,21.93,75.67
16055,22.95,74.8
16057,44.22,52.2
16059,21.3,76.26
16061,16.55,81.55
16063,20.45,76.47
16065,15.94,80.22
16067,17.28,80.55
16069,29.45,68.09
16071,10.3,86.24
16073,15.27,82.85
16075,17.55,80.43
16077,26.0,71.08
16079,24.01,73.41
16081,51.7,44.86
16083,24.25,73.06
16085,39.63,58.2
16087,18.19,79.76
17001,25.55,72.96
17003,39.81,59.05
17005,26.53,71.32
17007,41.95,56.46
17009,19.02,78.94
17011,36.89,61.18
17013,20.9,76.83
17015,33.18,64.85
17017,27.44,70.83
17019,61.28,37.2
17021,25.92,72.6
17023,23.49,74.73
17025,15.58,82.91
17027,23.14,74.98
17029,34.91,63.38
17031,70.39,28.39
17033,22.94,75.36
17035,18.36,80.22
17037,50.12,48.14
17039,26.6,71.47
17041,26.15,72.3
17043,55.86,42.53
17045,22.97,75.32
17047,13.9,84.98
17049,18.97,79.34
17051,17.0,81.73
17053,25.1,72.98
17055,24.07,74.64
17057,37.06,60.9
17059,22.18,76.04
17061,20.15,77.95
17063,34.45,64.05
17065,17.68,80.96
17067,24.1,74.06
17069,18.55,80.31
17071,29.64,68.43
17073,36.81,61.28
17075,20.64,77.97
17077,51.02,47.53
17079,16.82,82.07
17081,25.48,73.26
17083,24.09,74.28
17085,40.78,57.62
17087,20.33,78.62
17089,54.0,44.64
17091,38.72,59.53
17093,49.99,48.46
17095,44.37,53.74
17097,59.69,38.92
17099,40.11,58.58
17101,21.02,77.26
17103,37.94,60.16
17105,26.07,72.38
17107,28.22,69.75
17109,39.66,58.52
17111,46.61,51.91
17113,51.64,46.76
17115,39.82,58.73
17117,29.45,68.65
17119,42.49,55.75
17121,24.56,74.06
17123,31.22,67.23
17125,27.83,70.07
17127,25.21,73.98
17129,28.55,70.05
17131,35.35,62.49
17133,30.99,67.28
17135,27.09,71.12
17137,33.09,65.58
17139,24.76,73.83
17141,34.5,63.89
17143,51.52,46.86
17145,23.22,75.2
17147,33.74,64.28
17149,17.35,81.08
17151,19.51,79.64
17153,32.35,66.6
17155,37.65,60.46
17157,24.15,74.13
17159,22.56,76.06
17161,53.94,44.35
17163,53.01,45.15
17165,24.84,73.85
17167,46.61,51.57
17169,25.59,72.42
17171,18.86,80.05
17173,19.2,79.45
17175,26.26,71.82
17177,39.48,58.89
17179,35.79,62.46
17181,27.78,70.98
17183,31.36,67.02
17185,22.32,76.16
17187,36.48,61.61
17189,20.69,77.93
17191,13.97,84.9
17193,19.68,79.08
17195,41.67,56.37
17197,50.12,48.52
17199,29.97,68.75
