fema_risk_score,fema_hurricane,fema_tornado,fema_wildfire,fema_earthquake,fema_heat,fema_winter_weather,fema_drought,fips,fema_flood
91.82569974554707,87.3174801835628,96.5966921119593,51.62213740458015,92.4618320610687,96.53179190751445,33.54551241247613,56.80661577608143,01101,94.05216284987277
88.83587786259542,68.00166875260743,98.34605597964376,48.918575063613225,92.27099236641222,88.08606294155426,83.73647358370465,47.837150127226465,01103,86.73664122137404
18.829516539440203,69.29495202336253,53.657760814249365,23.155216284987276,61.100508905852415,48.81181759794477,3.469127943984724,60.591603053435115,01105,22.455470737913487
44.6882951653944,69.2532332081769,76.17684478371501,27.89440203562341,78.53053435114504,79.70456005138085,11.394016549968173,43.034351145038165,01107,41.85750636132315
43.98854961832061,83.56278681685441,57.729007633587784,33.87404580152672,57.029262086513995,76.2684649967887,11.04392106938256,51.43129770992366,01109,47.61450381679389
30.59796437659033,71.9232373800584,62.59541984732825,63.77226463104325,46.56488549618321,45.3757225433526,7.256524506683641,42.461832061068705,01111,41.98473282442748
54.73918575063613,75.177304964539,58.651399491094146,55.6615776081425,53.657760814249365,77.296082209377,12.858052196053467,76.30407124681933,01113,66.85750636132316
72.13740458015268,56.65415102211098,91.76208651399492,71.7557251908397,74.93638676844783,71.70841361592807,18.109484404837684,44.211195928753185,01115,75.92239185750637
90.2671755725191,65.95744680851064,98.25063613231552,74.30025445292621,84.47837150127226,88.56775850995504,29.567154678548697,49.10941475826972,01117,91.57124681933843
53.021628498727736,76.26199415936587,81.74300254452926,34.4147582697201,74.14122137404581,67.91907514450867,7.638446849140674,57.09287531806616,01119,54.770992366412216
84.66921119592875,74.42636629119733,93.76590330788804,79.13486005089058,78.46692111959288,81.79190751445087,19.446212603437303,56.36132315521628,01121,87.24554707379136
67.4618320610687,74.21777221526908,72.83715012722645,75.06361323155217,68.98854961832062,84.26461143224148,9.357097390197326,39.94910941475827,01123,77.86259541984732
90.80788804071247,81.10137672090113,97.51908396946564,57.09287531806616,92.55725190839695,95.6005138086063,50.572883513685554,43.161577608142494,01125,91.63486005089058
82.60178117048346,58.28118481435127,93.92493638676844,62.468193384223916,83.49236641221374,84.6820809248555,66.008911521324,39.53562340966921,01127,85.7824427480916
45.64249363867685,86.94201084689195,66.34860050890585,65.83969465648855,46.024173027989825,52.44059087989724,19.318905155951622,45.70610687022901,01129,38.3587786259542
36.704834605597966,76.42886942010847,54.07124681933843,45.70610687022901,50.76335877862596,44.797687861271676,4.105665181413113,36.32315521628499,01131,53.0852417302799
59.19211195928753,62.78681685440134,79.23027989821882,59.12849872773537,81.42493638676844,62.71676300578035,18.650541056651814,26.176844783715016,01133,64.7264631043257
21.342239185750635,,0.954198473282443,0.063613231552163,74.55470737913485,,22.310630171865053,0.0,02013,0.0
67.30279898218829,,0.604325699745547,0.0,89.66284987277355,,17.85486950986633,0.0,02016,0.0
97.39185750636132,,0.44529262086514,78.62595419847328,99.49109414758269,,98.75875238701464,0.0,02020,28.000000000000004
44.30661577608143,,1.431297709923664,83.84223918575063,49.395674300254456,,89.68809675366009,0.0,02050,9.573791348600508
1.208651399491094,,0.349872773536896,34.223918575063614,71.9147582697201,,19.732654360280076,0.0,02060,0.0
19.62468193384224,,0.063613231552163,1.304071246819339,81.80661577608143,,30.61744112030554,0.0,02063,20.8
39.94910941475827,,0.381679389312977,83.65139949109415,77.7671755725191,,27.562062380649266,0.0,02066,1.908396946564886
28.30788804071247,,0.318066157760814,84.764631043257,78.91221374045801,,26.066199872692554,0.0,02068,1.463104325699746
35.68702290076336,,0.636132315521628,62.150127226463106,75.0,,61.45767027371101,0.0,02070,3.085241730279898
88.5178117048346,,0.731552162849873,97.6145038167939,97.58269720101781,,97.51750477402929,0.0,02090,45.67430025445292
4.293893129770993,,0.22264631043257,4.993638676844784,64.53562340966921,,50.28644175684277,0.0,02100,0.826972010178117
14.31297709923664,,0.413486005089058,5.566157760814249,73.15521628498728,,35.4551241247613,0.0,02105,22.8
11.513994910941475,,0.572519083969466,19.529262086513995,80.53435114503816,,90.07001909611712,0.0,02110,38.0
93.03435114503816,,0.795165394402036,97.07379134860051,98.69592875318067,,93.92106938255887,12.30916030534351,02122,43.765903307888046
1.685750636132316,,0.190839694656489,10.941475826972011,31.170483460559794,,53.087205601527685,0.0,02130,26.0
65.13994910941476,,0.477099236641221,23.21882951653944,94.72010178117048,,37.96944621260344,0.0,02150,4.421119592875318
57.91984732824428,,0.89058524173028,46.9147582697201,24.58651399491094,,84.94589433481859,0.0,02158,0.0
6.26590330788804,,0.826972010178117,45.45165394402035,79.67557251908397,,30.45830681094844,0.0,02164,0.159033078880407
93.25699745547074,,0.858778625954199,94.65648854961832,98.88676844783714,,93.06174411203055,0.0,02170,51.30407124681934
34.06488549618321,,0.540712468193384,45.16539440203562,73.53689567430025,,88.19223424570337,0.0,02180,5.725190839694656
14.75826972010178,,0.699745547073791,11.38676844783715,50.19083969465649,,81.98599618077658,0.0,02185,2.608142493638677
54.58015267175572,,0.508905852417303,65.68066157760815,65.68066157760815,,78.64417568427753,0.0,02188,3.403307888040712
15.426208651399492,,0.254452926208651,3.403307888040712,18.25699745547074,,30.903882877148313,0.0,02195,0.986005089058524
0.954198473282443,,0.286259541984733,10.114503816793894,43.034351145038165,,33.45003182686187,0.0,02198,3.753180661577608
23.823155216284988,,0.095419847328244,8.746819338422391,83.87404580152672,,35.741565881604075,0.0,02220,34.0
0.477099236641221,,0.031806615776081,2.44910941475827,43.89312977099237,,35.70973901973266,0.0,02230,0.254452926208651
57.029262086513995,,0.763358778625954,97.10559796437659,86.4821882951654,,68.87332908975175,0.0,02240,9.351145038167939
0.063613231552163,,0.127226463104326,1.526717557251908,13.008905852417302,,22.46976448122215,0.0,02275,0.413486005089058
2.958015267175572,,0.159033078880407,1.685750636132316,77.44910941475827,,17.568427753023553,0.0,02282,0.286259541984733
61.54580152671756,,0.66793893129771,93.00254452926208,75.31806615776081,,79.59898154042011,0.0,02290,6.647582697201019
78.7849872773537,11.681268251981644,3.625954198473282,97.90076335877863,67.71628498727735,46.660244059087994,90.57924888605984,50.25445292620865,04001,80.72519083969466
92.84351145038168,34.209428452231954,10.368956743002544,99.17302798982189,78.49872773536896,99.06872190109183,21.32399745385105,90.01272264631042,04003,93.8295165394402
94.21119592875317,0.0,24.33206106870229,99.39567430025446,90.36259541984732,63.90494540783558,98.31317632081476,25.06361323155216,04005,96.46946564885496
90.17175572519083,7.676261994159366,13.358778625954198,99.07760814249363,59.00127226463104,86.73731535003212,85.964353914704,24.61832061068702,04007,93.06615776081425
