fips,summer_high_f,winter_low_f,summer_avg_f,annual_avg_f,annual_precip_in,annual_snow_in
06005,91.0,39.0,75.6,61.1,40.7,1.5
06007,91.4,39.8,76.7,62.1,41.5,0.1
06009,88.0,36.5,73.6,58.6,41.6,34.3
06011,91.6,37.6,75.2,61.4,19.8,0.5
06013,83.5,41.8,71.2,60.2,21.9,0.5
06015,64.5,40.1,57.5,52.5,80.3,0.0
06017,87.6,32.4,70.5,54.6,51.8,50.0
06019,97.5,39.9,81.4,65.5,12.1,0.0
06021,92.8,37.4,76.5,61.9,21.6,0.1
06023,67.2,39.5,59.5,52.7,54.1,0.3
06025,105.6,42.8,90.3,73.5,2.5,0.0
06027,108.9,40.9,95.3,73.6,2.8,0.7
06029,92.3,37.3,77.9,62.3,10.2,1.8
06031,96.2,37.4,79.6,63.8,8.0,0.0
06033,90.1,34.2,72.5,58.4,31.7,0.7
06035,83.7,23.0,66.0,49.3,19.6,77.2
06037,85.8,44.3,73.9,65.1,15.9,0.0
06039,93.3,36.1,76.6,60.8,25.9,1.9
06041,80.8,42.6,67.3,59.4,37.8,0.0
06043,77.7,29.0,65.6,50.3,34.8,4.0
06045,79.7,35.1,63.8,54.0,47.4,0.7
06047,92.8,37.5,75.1,61.4,10.8,0.0
06049,85.1,21.4,64.8,47.9,13.8,22.2
06051,77.8,16.6,61.4,44.5,16.9,68.6
06053,85.2,38.2,68.1,59.5,18.4,0.0
06055,87.2,39.1,70.9,59.6,34.5,0.0
06057,76.9,30.4,65.7,50.6,60.5,11.3
06059,83.3,46.2,72.7,65.4,13.4,0.0
06061,84.7,35.6,72.3,56.9,53.7,4.4
06063,84.6,24.5,65.0,49.1,36.9,49.9
06065,104.9,43.9,91.0,74.3,3.0,0.0
06067,91.6,40.8,75.4,62.6,20.1,0.0
06069,87.9,35.3,68.7,58.4,12.5,0.0
06071,100.5,37.6,86.7,67.4,4.3,0.3
06073,89.9,38.3,72.8,62.9,16.1,5.6
06075,71.0,44.8,62.0,57.5,29.1,0.0
06077,93.0,39.9,76.1,63.2,15.0,0.0
06079,75.9,43.0,64.7,59.9,24.7,0.0
06081,73.4,40.7,62.4,56.6,25.3,0.0
06083,82.0,37.9,66.7,59.5,20.4,0.0
06085,79.7,40.3,69.4,58.2,21.4,8.1
06087,77.5,40.6,65.0,58.9,34.1,0.0
06089,93.7,40.9,80.1,63.5,59.7,20.0
06091,82.2,26.4,65.2,50.1,29.4,32.0
06093,87.8,27.5,69.6,52.6,17.1,29.2
06095,91.7,40.0,74.8,62.4,24.9,0.0
06097,84.3,38.4,67.9,58.6,39.5,0.0
06099,93.0,40.6,77.5,63.7,12.5,0.0
06101,93.8,39.8,77.2,62.8,21.1,0.0
06103,94.9,38.9,79.3,63.2,24.9,0.1
06105,92.3,32.9,71.5,56.1,35.7,5.5
06107,95.6,37.7,78.9,63.4,16.1,0.1
06109,85.7,31.5,70.7,54.9,43.0,75.7
06111,81.1,41.2,68.8,61.6,16.6,0.1
06113,92.7,38.7,75.1,62.2,20.1,0.0
06115,90.7,35.9,74.0,59.6,39.4,1.6
08001,86.7,16.5,71.2,50.0,16.2,42.7
08003,80.9,3.5,63.1,42.7,7.7,29.7
08005,86.7,16.2,71.1,49.9,17.5,42.7
08007,85.1,12.8,66.2,47.0,25.9,46.8
08009,89.0,18.8,74.0,53.3,15.9,23.2
08011,92.4,17.0,76.7,54.5,13.6,15.5
08013,,,,,22.6,183.5
08014,88.5,19.5,72.5,52.4,17.8,69.6
08015,76.5,5.1,60.2,40.7,18.9,49.3
08017,88.7,14.9,73.0,51.2,16.1,17.9
08019,71.3,14.0,58.0,40.3,21.3,125.6
08021,79.2,3.9,62.1,42.3,8.8,30.1
08023,80.2,8.3,63.1,43.9,12.7,
08025,90.9,14.7,74.2,52.1,11.6,16.4
08027,78.7,9.9,61.5,43.0,18.0,78.1
08029,85.1,19.1,70.5,49.7,13.3,40.1
08031,87.4,18.2,71.9,51.3,16.1,49.0
08033,84.5,18.0,69.0,48.8,25.5,69.7
08035,83.0,18.7,68.6,49.6,18.5,57.5
08037,76.2,6.2,57.3,38.3,23.0,189.2
08039,83.9,13.3,68.1,47.6,18.9,
08041,83.1,17.5,68.7,49.6,16.2,32.5
08043,81.8,17.8,67.4,48.6,13.4,58.4
08045,87.1,13.7,68.9,47.7,12.1,40.5
08047,70.3,15.0,57.6,39.9,25.8,194.7
08049,76.0,2.6,58.9,38.1,15.6,89.3
08051,77.0,-1.9,58.7,37.2,12.6,95.1
08053,72.8,0.4,56.6,37.7,22.8,112.1
08055,82.0,20.5,67.7,49.5,18.3,90.8
08057,72.9,4.6,55.1,35.9,17.5,67.1
08059,78.6,12.8,62.5,44.7,21.5,116.2
08061,90.0,16.3,74.8,52.8,15.8,19.5
08063,87.0,18.5,72.6,51.3,19.1,33.6
08065,69.6,4.9,53.7,35.4,15.7,172.2
08067,82.4,14.3,65.9,46.8,19.5,74.8
08069,74.2,15.0,60.0,41.5,18.1,141.8
08071,84.4,18.4,69.7,51.0,14.0,64.0
08073,85.7,13.4,69.6,48.8,15.7,23.2
08075,87.0,16.8,72.6,50.5,16.4,33.5
08077,90.4,21.8,76.4,54.2,9.9,13.5
08079,75.3,-3.1,56.9,37.3,42.9,78.4
08081,83.4,6.5,64.9,42.9,13.8,50.7
08083,86.9,18.4,70.2,50.1,13.3,40.0
08085,83.3,15.2,67.5,47.4,24.9,41.8
08087,87.3,13.3,71.6,49.5,15.1,24.9
08089,91.3,15.5,74.6,53.0,13.1,28.2
08091,81.1,11.1,63.3,44.3,17.6,102.2
08093,71.9,2.5,56.1,36.8,13.9,58.0
08095,85.9,14.3,71.1,49.2,18.3,31.3
08097,77.3,9.7,61.0,41.5,18.8,170.8
08099,91.6,15.5,75.8,53.4,16.5,25.6
08101,90.4,16.9,74.6,53.2,14.1,23.0
08103,84.0,10.4,65.9,44.9,15.6,52.2
08105,78.6,5.2,61.6,42.1,27.3,37.0
08107,81.3,7.7,62.9,41.9,26.6,156.6
08109,78.7,8.4,62.8,43.6,11.5,31.7
08111,72.2,-4.4,53.8,34.7,28.4,172.6
08113,81.3,13.8,65.4,46.0,20.7,78.9
08115,85.5,16.0,71.6,49.5,18.1,26.9
08117,72.8,4.4,54.9,36.3,18.0,152.4
08119,73.7,10.5,58.7,40.4,17.0,78.0
08121,86.7,15.6,71.5,49.7,15.9,29.0
08123,87.3,12.6,70.8,48.8,14.0,25.1
08125,87.9,17.0,73.2,51.2,18.4,31.3
09110,82.6,22.2,72.4,51.6,47.3,51.7
09120,80.8,24.8,72.6,52.5,48.0,33.6
09130,81.7,21.1,71.0,50.7,50.6,
09140,81.4,21.5,71.3,50.9,52.1,46.8
09150,78.6,19.2,68.3,48.6,51.0,45.5
09160,79.0,16.9,67.7,47.1,51.4,63.8
09170,80.6,23.8,71.5,51.6,45.7,
09180,80.1,24.6,71.2,51.8,51.3,28.7
09190,81.2,21.6,70.8,50.4,52.2,49.3
10001,84.9,29.5,75.7,57.0,47.8,12.8
10003,84.7,27.0,74.9,55.1,46.5,17.4
10005,85.5,30.7,76.4,57.7,45.7,10.5
11001,87.3,29.9,77.9,58.1,45.1,10.1
12001,91.1,44.6,80.9,69.4,53.4,0.0
12003,91.0,42.5,80.6,68.3,53.0,0.0
12005,89.9,44.9,81.9,69.1,66.8,0.0
12007,91.9,46.3,82.5,70.6,53.4,0.0
12009,90.2,52.4,81.4,72.9,55.1,0.0
12011,90.3,60.0,83.0,76.3,67.8,0.0
12013,90.1,42.8,81.2,68.1,62.0,0.0
12015,93.0,53.4,83.4,75.0,53.7,0.0
12017,90.7,48.0,81.3,71.4,53.3,0.0
12019,92.1,46.6,82.8,70.9,53.6,
12021,91.1,55.3,82.5,75.1,56.8,0.0
12023,89.9,43.5,80.2,68.0,54.3,0.0
12027,91.8,50.6,81.8,73.1,53.5,0.0
12029,90.0,42.6,80.6,68.4,54.6,0.0
12031,90.6,47.2,82.1,70.2,52.1,0.0
12033,90.1,44.9,81.9,68.6,70.1,0.0
12035,88.9,49.7,81.5,71.0,52.1,0.0
12037,90.0,44.9,81.8,69.0,56.7,0.0
12039,91.1,40.5,80.9,67.4,59.1,0.0
12041,90.6,42.3,80.4,68.3,54.3,0.0
12043,92.0,52.2,81.9,73.5,50.8,0.0
12045,89.6,44.5,81.3,68.6,57.9,0.0
12047,90.2,41.6,80.2,67.4,52.7,0.0
12049,91.5,49.7,81.6,72.5,52.7,0.0
12051,91.8,53.4,82.3,74.2,52.6,0.0
12053,90.9,48.9,81.7,71.9,53.8,0.0
12055,92.0,50.7,81.4,73.0,52.9,0.0
12057,90.9,54.7,83.6,74.5,53.6,0.0
12059,91.2,39.6,80.6,66.6,62.4,0.0
12061,90.4,53.7,82.0,73.6,58.1,0.0
12063,91.8,41.9,81.9,68.1,55.3,0.0
12065,90.1,42.4,80.4,67.4,58.4,0.0
12067,91.3,43.6,81.2,69.2,54.5,0.0
12069,90.7,48.8,81.8,71.5,49.2,0.0
12071,91.7,55.8,83.1,75.4,55.5,0.0
12073,92.0,41.2,82.0,68.2,57.5,0.0
12075,89.4,44.7,80.4,68.9,56.8,0.0
12077,90.0,41.3,80.5,67.4,60.9,0.0
12079,90.5,41.7,80.5,67.5,54.8,0.0
12081,90.8,53.5,82.6,73.7,58.5,0.0
12083,91.5,47.4,81.6,71.3,52.1,
12085,89.7,57.0,82.0,74.6,62.6,0.0
12086,90.7,57.4,82.1,75.5,63.2,0.0
12087,92.4,58.0,83.7,76.5,58.8,0.0
12089,90.5,45.2,81.5,69.3,53.6,0.0
12091,90.3,41.7,81.0,67.3,70.2,0.0
12093,91.9,52.7,82.5,73.9,54.2,0.0
12095,91.6,52.5,82.7,73.4,52.6,0.0
12097,90.7,51.2,81.7,72.6,53.8,0.0
12099,90.8,54.9,81.8,74.3,59.0,0.0
12101,90.6,46.5,80.9,70.7,56.1,
12103,90.3,55.1,83.1,74.1,54.6,0.0
12105,92.5,53.1,83.1,74.2,50.8,0.0
12107,90.0,47.4,80.8,70.1,55.1,0.0
