fips,dist_to_coast_mi,dist_to_mountains_mi
13099,90.8,326.4
13101,85.9,338.4
13103,23.0,233.3
13105,172.0,104.3
13107,77.8,208.2
13109,46.4,240.7
13111,266.3,114.4
13113,217.1,189.0
13115,280.9,179.3
13117,228.5,132.4
13119,199.6,94.1
13121,227.5,167.7
13123,263.6,127.1
13125,117.3,164.0
13127,56.2,308.6
13129,274.2,154.0
13131,81.3,341.6
13133,157.5,144.8
13135,212.6,142.7
13137,224.2,88.4
13139,219.5,115.9
13141,136.9,163.5
13143,250.0,198.5
13145,181.0,241.4
13147,189.0,90.3
13149,216.1,219.2
13151,200.5,175.7
13153,151.7,227.1
13155,132.3,279.7
13157,200.0,118.0
13159,172.4,171.7
13161,92.3,261.9
13163,101.4,175.7
13165,69.9,196.2
13167,100.1,201.0
13169,156.9,188.2
13171,189.7,198.2
13173,102.8,316.9
13175,108.6,222.9
13177,144.8,277.9
13179,29.1,268.8
13181,140.6,124.9
13183,44.8,269.6
13185,99.6,332.3
13187,238.9,110.7
13189,124.6,146.4
13191,45.4,291.6
13193,173.4,240.7
13195,185.8,109.4
13197,164.4,252.3
13199,204.7,216.4
13201,88.0,332.5
13205,105.8,317.4
13207,176.2,195.9
13209,84.0,236.9
13211,173.5,149.5
13213,280.5,138.0
13215,166.9,253.1
13217,188.7,161.0
13219,180.9,133.1
13221,167.3,124.1
13223,251.9,177.5
13225,162.8,222.7
13227,254.7,137.5
13229,78.2,293.8
13231,203.1,204.7
13233,264.0,188.5
13235,139.6,239.0
13237,156.7,165.1
13239,122.0,295.6
13241,233.7,71.1
13243,121.7,295.0
13245,104.0,156.6
13247,200.8,160.1
13249,164.2,253.1
13251,53.8,203.6
13253,70.9,350.2
13255,201.9,190.9
13257,211.5,85.0
13259,139.2,278.1
13261,155.0,264.6
13263,186.3,231.3
13265,144.2,142.6
13267,56.3,247.0
13269,183.8,233.1
13271,108.1,255.9
13273,132.1,286.7
13275,83.6,337.3
13277,129.8,292.3
13279,72.0,240.8
13281,245.9,84.6
13283,88.6,220.5
13285,199.8,228.5
13287,145.6,275.4
13289,141.2,209.5
13291,251.8,99.4
13293,193.7,213.9
13295,303.2,169.3
13297,191.9,143.7
13299,70.8,314.3
13301,128.7,151.8
13303,115.8,182.4
13305,61.1,282.0
13307,144.5,272.3
13309,95.6,241.8
13311,232.7,96.4
13313,290.8,149.9
13315,137.3,257.0
13317,150.3,126.6
13319,130.4,197.0
13321,130.7,290.3
15001,26.8,9.3
15003,13.3,94.3
15005,8.4,61.5
15007,15.3,14.5
15009,7.0,28.1
16001,398.1,268.4
16003,364.6,188.4
16005,607.4,91.1
16007,659.6,88.0
16009,352.0,124.8
16011,589.1,82.7
16013,510.7,158.4
16015,414.8,224.1
16017,361.5,152.7
16019,622.2,41.9
16021,373.4,169.4
16023,541.8,119.7
16025,469.1,199.1
16027,372.6,245.2
16029,639.0,62.0
16031,544.1,166.0
16033,570.7,94.7
16035,399.7,81.4
16037,479.5,180.0
16039,436.7,234.4
16041,636.4,105.3
16043,613.9,60.2
16045,380.9,233.9
16047,476.0,205.7
16049,407.6,105.8
16051,580.8,78.6
16053,508.9,183.4
16055,351.0,134.6
16057,348.1,129.5
16059,488.6,143.2
16061,363.1,126.5
16063,508.0,172.4
16065,612.7,47.3
16067,535.6,149.8
16069,347.8,138.8
16071,600.7,126.0
16073,413.7,279.6
16075,365.6,241.0
16077,577.4,117.2
16079,387.3,91.7
16081,634.6,27.4
16083,491.2,208.4
16085,405.6,167.3
16087,354.5,222.0
17001,226.5,315.3
17003,327.3,249.6
17005,219.6,308.6
17007,66.5,515.4
17009,208.0,324.3
17011,106.9,442.3
17013,241.7,279.6
17015,119.4,473.9
17017,186.8,338.3
17019,113.8,416.1
17021,175.7,346.7
17023,164.3,388.1
17025,210.5,342.8
17027,236.7,296.4
17029,155.7,386.2
17031,7.7,466.2
17033,186.9,372.5
17035,172.1,374.9
17037,60.5,491.9
17039,127.9,392.7
17041,138.9,397.5
17043,27.0,486.5
17045,140.2,399.8
17047,228.7,350.5
17049,192.1,350.4
17051,202.9,330.7
17053,85.1,437.9
17055,267.1,294.6
17057,164.6,368.7
17059,274.4,321.8
17061,221.9,298.9
17063,54.5,468.8
17065,255.8,316.1
17067,211.2,342.2
17069,291.8,313.4
17071,188.9,373.2
17073,138.1,424.4
17075,68.0,446.3
17077,288.3,266.0
17079,189.3,367.6
17081,246.7,305.8
17083,235.4,284.6
17085,125.4,486.4
17087,302.0,280.5
17089,42.7,504.2
17091,43.0,461.1
17093,48.7,484.2
17095,150.5,396.6
17097,16.6,481.3
17099,75.8,456.8
17101,206.3,359.6
17103,89.2,469.0
17105,78.0,442.3
17107,145.8,374.3
17109,186.5,356.3
17111,49.1,515.5
17113,108.8,411.2
17115,148.3,374.1
17117,211.0,309.3
17119,235.4,287.8
17121,223.8,319.6
17123,106.1,425.7
17125,161.5,363.4
17127,316.4,283.6
17129,166.7,354.8
17131,171.3,402.1
17133,275.7,250.7
17135,199.9,323.5
17137,197.0,325.0
17139,154.3,375.7
17141,88.3,486.1
17143,133.6,399.5
17145,268.7,277.4
17147,130.0,395.0
17149,228.2,300.3
17151,301.1,296.8
17153,321.8,261.7
17155,99.4,436.6
17157,280.2,256.1
17159,208.7,359.3
17161,157.6,422.3
17163,257.4,269.7
17165,278.4,305.5
17167,175.6,344.4
17169,194.4,339.6
17171,211.3,312.3
17173,173.9,357.1
17175,126.1,417.1
17177,100.3,496.9
17179,133.4,390.6
17181,305.6,263.1
17183,105.2,418.3
17185,225.6,354.0
17187,172.3,382.2
17189,252.5,285.9
17191,231.1,333.1
17193,252.2,333.6
17195,120.1,454.2
17197,30.2,472.6
17199,284.6,285.9
17201,78.7,508.0
17203,108.9,415.8
18001,99.6,307.0
18003,91.7,321.9
18005,191.8,299.8
18007,76.5,418.9
18009,127.3,321.2
18011,126.0,360.4
18013,185.5,313.8
18015,91.1,386.4
18017,88.4,378.4
18019,242.0,263.5
18021,160.6,360.9
18023,110.1,372.6
18025,242.2,286.1
18027,208.7,330.5
18029,193.1,259.3
18031,195.9,287.7
18033,80.5,327.2
18035,142.0,321.4
18037,232.2,308.1
18039,84.7,373.6
18041,167.5,291.6
18043,248.3,266.0
18045,110.0,394.7
18047,178.3,275.8
18049,78.2,379.5
18051,233.8,337.5
18053,126.2,338.8
18055,185.1,343.4
18057,137.5,343.1
18059,158.1,322.6
18061,253.8,267.5
18063,143.1,349.5
18065,157.5,314.0
18067,110.8,361.8
18069,119.2,335.7
18071,207.4,294.5
18073,51.1,421.6
18075,117.3,304.2
18077,226.0,262.7
18079,211.2,279.6
18081,169.2,320.4
18083,208.1,344.8
18085,90.5,364.0
18087,99.6,354.4
18089,17.0,443.2
18091,40.4,414.3
18093,204.7,312.3
18095,140.8,337.5
18097,150.5,334.9
18099,68.8,385.8
18101,210.2,319.5
18103,99.1,363.0
18105,182.8,325.5
18107,119.0,377.1
18109,162.9,334.8
18111,51.2,435.0
18113,101.2,346.9
18115,205.7,249.5
18117,224.3,299.7
18119,168.3,345.5
18121,134.0,378.9
18123,254.3,285.4
18125,228.6,324.8
18127,25.7,429.2
18129,254.5,341.0
18131,61.6,400.7
18133,144.6,359.7
18135,132.1,300.2
18137,202.1,268.7
18139,176.7,301.2
18141,62.8,394.1
18143,228.2,272.6
18145,175.0,309.4
18147,256.3,299.9
18149,52.8,403.2
18151,77.6,335.0
18153,180.4,361.9
18155,214.3,247.0
18157,95.9,392.6
18159,122.0,356.5
18161,161.8,281.5
18163,254.3,327.2
18165,127.6,393.7
18167,156.9,374.7
18169,106.5,351.8
18171,93.3,410.4
18173,249.2,315.2
18175,226.5,286.2
18177,149.4,297.0
18179,111.2,320.5
18181,73.4,404.2
18183,110.6,343.9
19001,356.0,385.6
19003,373.2,366.5
19005,176.6,528.6
19007,286.8,343.3
19009,369.1,413.2
19011,220.7,441.6
19013,226.6,465.3
19015,314.5,431.7
19017,224.6,486.4
19019,203.2,469.4
19021,317.6,428.5
19023,247.8,480.7
19025,329.6,459.2
19027,356.1,437.3
19029,378.0,390.1
19031,182.4,431.9
19033,263.5,502.8
19035,329.5,404.4
19037,223.1,505.5
19039,326.9,361.7
19041,297.0,422.8
19043,173.6,500.2
19045,150.9,450.5
19047,366.5,431.2
19049,326.4,407.7
19051,263.5,346.9
19053,332.3,341.4
19055,179.6,475.0
19057,198.9,375.0
19059,279.8,416.8
19061,155.6,481.3
19063,267.6,443.1
19065,199.5,496.1
19067,246.9,502.6
19069,272.6,479.4
19071,423.6,360.0
19073,336.9,434.0
19075,251.7,457.8
19077,349.1,410.1
19079,297.9,455.5
19081,269.6,492.5
19083,274.5,455.6
19085,398.3,420.0
19087,215.7,373.5
19089,224.2,526.5
19091,296.1,474.1
19093,347.6,417.5
19095,230.5,413.9
19097,147.8,466.9
19099,278.4,407.4
19101,236.1,369.2
19103,206.7,418.4
19105,174.5,455.3
19107,240.2,388.9
19109,268.5,467.5
19111,219.2,352.4
19113,198.7,445.6
19115,196.5,393.5
19117,303.9,361.7
19119,309.5,366.7
19121,333.6,383.1
19123,264.0,385.0
19125,287.3,382.8
19127,267.1,432.2
19129,418.7,379.3
19131,240.8,522.9
19133,379.3,404.0
19135,280.7,362.9
19137,396.7,371.8
19139,184.9,413.2
19141,309.2,399.3
19143,292.5,395.2
19145,400.6,352.7
19147,286.3,446.7
19149,345.6,376.0
19151,308.0,451.4
19153,303.4,406.6
19155,407.8,398.4
19157,252.9,410.0
19159,355.3,343.4
19161,338.8,437.1
19163,157.6,432.4
19165,387.8,417.7
19167,325.1,372.0
19169,291.1,431.0
19171,244.2,436.7
19173,378.1,347.3
19175,350.2,363.5
19177,240.4,352.4
19179,257.6,366.2
19181,311.4,382.3
19183,217.9,393.9
19185,309.7,341.4
19187,318.5,459.8
19189,249.6,489.1
19191,200.2,525.1
19193,361.2,391.0
19195,243.3,513.7
19197,292.2,479.2
20001,490.6,175.1
20003,477.5,194.0
20005,436.1,276.3
20007,591.5,304.2
20009,635.2,344.2
20011,471.8,160.5
20013,441.5,300.2
20015,565.1,229.6
20017,535.2,242.7
20019,549.1,178.9
20021,501.3,120.6
20023,683.9,200.5
20025,619.7,359.6
20027,532.9,316.7
20029,553.2,340.9
20031,496.8,208.5
20033,602.1,333.4
20035,560.7,210.1
20037,486.8,139.7
20039,641.0,267.6
20041,545.0,292.0
20043,421.4,289.9
20045,453.7,235.5
