fips,dew_point_f,sunshine_pct
17089,60.6,33.5
17091,60.5,22.3
17093,60.5,27.2
17095,63.4,56.6
17097,60.4,21.4
17099,61.6,39.4
17101,65.3,54.1
17103,61.3,34.2
17105,61.6,38.1
17107,64.1,55.6
17109,63.6,56.9
17111,60.6,26.9
17113,63.9,55.1
17115,64.0,53.5
17117,65.4,42.5
17119,66.1,34.8
17121,65.6,41.2
17123,62.7,47.2
17125,64.0,55.9
17127,67.1,55.6
17129,64.2,56.7
17131,62.9,57.0
17133,66.1,35.1
17135,65.1,52.6
17137,64.4,49.4
17139,64.0,54.2
17141,60.7,21.0
17143,63.4,55.8
17145,66.5,42.7
17147,64.0,54.2
17149,65.3,38.0
17151,67.0,53.9
17153,67.3,44.3
17155,62.5,44.8
17157,66.2,36.2
17159,65.6,51.8
17161,62.7,57.4
17163,66.5,40.7
17165,66.6,53.9
17167,64.4,57.3
17169,63.7,57.0
17171,65.2,40.4
17173,64.7,52.9
17175,62.7,48.6
17177,60.7,27.9
17179,63.7,55.3
17181,67.3,40.2
17183,63.4,41.2
17185,65.9,54.8
17187,63.4,56.8
17189,66.3,37.3
17191,66.5,52.7
17193,66.4,53.7
17195,61.8,43.2
17197,60.5,22.1
17199,66.7,53.6
17201,60.7,20.7
17203,63.7,55.3
18001,61.5,24.2
18003,61.5,25.8
18005,63.7,24.5
18007,62.6,33.8
18009,62.1,18.8
18011,62.9,28.1
18013,64.1,23.1
18015,62.8,34.9
18017,62.1,38.3
18019,65.3,31.8
18021,63.7,35.1
18023,62.8,32.7
18025,65.5,31.5
18027,65.7,38.0
18029,63.6,27.6
18031,63.7,26.4
18033,60.9,22.3
18035,62.2,18.6
18037,65.7,37.6
18039,60.8,31.0
18041,63.3,28.2
18043,65.4,30.2
18045,63.2,39.9
18047,63.5,28.6
18049,61.8,37.3
18051,65.9,51.6
18053,62.5,25.9
18055,64.5,28.2
18057,62.8,25.5
18059,63.1,23.4
18061,65.4,30.8
18063,63.0,23.3
18065,62.5,21.6
18067,62.7,29.2
18069,61.8,27.7
18071,64.5,25.6
18073,61.6,34.5
18075,62.0,22.3
18077,64.7,25.7
18079,64.6,25.1
18081,63.1,21.7
18083,65.2,41.1
18085,61.6,34.8
18087,60.8,24.3
18089,60.5,19.8
18091,60.6,29.3
18093,64.5,25.2
18095,62.7,25.9
18097,63.1,20.8
18099,61.4,38.9
18101,65.5,38.5
18103,61.9,35.4
18105,64.1,23.2
18107,63.0,34.7
18109,63.3,26.2
18111,61.6,33.4
18113,61.0,23.7
18115,64.1,31.2
18117,65.4,31.5
18119,63.7,33.2
18121,63.3,36.5
18123,65.7,35.0
18125,65.8,42.2
18127,60.5,22.9
18129,66.4,53.4
18131,61.6,36.3
18133,63.0,28.0
18135,62.0,22.9
18137,64.3,33.9
18139,63.6,25.9
18141,60.8,39.6
18143,65.4,31.6
18145,63.5,23.7
18147,65.8,41.2
18149,61.3,35.9
18151,60.7,21.5
18153,64.4,40.8
18155,64.2,33.2
18157,63.0,44.6
18159,62.7,28.0
18161,63.3,28.2
18163,66.0,54.0
18165,63.3,38.8
18167,63.3,36.9
18169,61.8,32.4
18171,63.2,41.4
18173,65.8,46.8
18175,65.4,31.3
18177,62.5,22.2
18179,61.6,23.0
18181,62.6,40.5
18183,61.7,28.8
19001,63.5,37.5
19003,63.7,39.7
19005,60.6,52.3
19007,63.1,47.0
19009,63.7,39.8
19011,62.5,56.1
19013,61.8,55.5
19015,62.1,39.6
19017,61.7,54.9
19019,62.0,55.8
19021,61.4,53.8
19023,61.6,54.2
19025,62.1,45.4
19027,63.0,43.0
19029,63.7,40.6
19031,62.4,56.4
19033,60.8,50.9
19035,62.2,53.0
19037,61.0,54.2
19039,63.0,36.4
19041,61.3,53.0
19043,61.8,55.4
19045,62.2,56.1
19047,63.5,51.0
19049,63.1,34.3
19051,63.1,49.1
19053,63.0,38.6
19055,61.9,55.4
19057,62.9,56.1
19059,60.9,45.6
19061,61.6,54.7
19063,60.4,40.7
19065,61.9,55.7
19067,60.9,53.2
19069,61.5,47.8
19071,63.9,49.1
19073,62.6,37.2
19075,61.8,54.8
19077,63.5,37.2
19079,61.8,44.0
19081,60.8,52.0
19083,61.8,46.0
19085,63.7,48.6
19087,63.0,55.7
19089,60.7,54.2
19091,61.6,45.4
19093,63.3,53.0
19095,62.7,55.8
19097,61.9,55.2
19099,62.7,41.9
19101,63.1,54.9
19103,62.9,56.5
19105,62.1,55.8
19107,63.1,50.2
19109,60.5,51.8
19111,63.0,55.7
19113,62.3,56.2
19115,62.9,56.2
19117,63.0,39.3
19119,60.9,42.1
19121,63.1,34.8
19123,63.1,48.6
19125,63.0,42.7
19127,62.4,46.2
19129,64.0,48.1
19131,60.7,53.3
19133,63.3,52.7
19135,63.1,47.4
19137,63.9,48.4
19139,62.5,56.6
19141,61.5,54.5
19143,60.9,46.7
19145,63.9,49.0
19147,61.5,54.3
19149,61.8,58.2
19151,62.0,46.9
19153,62.8,34.1
19155,63.9,47.0
19157,63.0,47.9
19159,63.6,38.1
19161,63.0,45.8
19163,62.5,56.8
19165,63.7,49.0
19167,61.4,55.6
19169,62.1,40.6
19171,62.4,55.7
19173,63.7,40.1
19175,63.5,37.0
19177,63.0,55.1
19179,63.2,51.6
19181,62.9,32.9
19183,63.0,55.8
19185,63.1,41.0
19187,61.8,43.4
19189,60.8,52.3
19191,60.7,53.6
19193,62.5,58.4
19195,60.8,51.9
19197,61.5,46.4
20001,65.9,59.7
20003,65.4,60.7
20005,65.5,47.4
20007,62.7,8.4
20009,61.9,70.7
20011,65.8,60.6
20013,65.5,48.5
20015,64.3,41.1
20017,64.1,45.7
20019,65.6,26.9
20021,66.4,53.4
20023,55.1,74.2
20025,60.5,53.6
20027,63.7,64.9
20029,63.2,63.4
20031,65.4,60.3
20033,61.2,38.2
20035,65.1,30.9
20037,66.2,60.9
20039,57.6,70.7
20041,63.6,65.6
20043,65.5,48.6
20045,65.4,60.3
20047,61.3,49.8
20049,65.3,28.8
20051,61.9,70.7
20053,62.8,68.9
20055,59.4,74.1
20057,60.1,66.1
20059,65.4,60.5
20061,63.9,63.3
20063,58.5,73.4
20065,59.7,71.9
20067,59.6,73.4
20069,59.6,73.2
20071,56.1,75.7
20073,64.8,40.6
20075,56.3,76.0
20077,63.7,17.2
20079,64.3,40.7
20081,59.6,73.5
20083,60.1,72.1
20085,65.5,52.8
20087,65.5,51.8
20089,62.6,65.8
20091,65.4,51.7
20093,58.9,73.7
20095,63.8,18.3
20097,60.9,45.2
20099,66.9,42.6
20101,58.9,73.4
20103,65.4,47.7
20105,62.8,68.3
20107,65.4,61.1
20109,57.4,74.2
20111,65.2,57.0
20113,63.9,51.4
20115,64.0,47.6
20117,64.7,60.3
20119,60.3,59.0
20121,65.4,50.1
20123,62.9,66.9
20125,66.3,40.2
20127,64.7,63.1
20129,55.7,41.1
20131,65.5,50.3
20133,66.5,46.7
20135,60.4,72.2
20137,62.0,69.4
20139,65.4,59.6
20141,62.7,68.3
20143,63.0,67.4
20145,61.4,52.3
20147,62.3,67.3
20149,65.0,59.9
20151,62.6,19.8
20153,57.2,71.5
20155,64.0,22.3
20157,63.0,64.7
20159,63.2,56.1
20161,64.0,65.0
20163,62.6,68.5
20165,60.9,71.6
20167,62.2,70.2
20169,63.2,70.4
20171,58.7,73.5
20173,64.6,22.4
20175,59.6,73.1
20177,65.5,57.0
20179,58.9,73.1
20181,56.2,73.9
20183,62.4,66.9
20185,61.7,44.2
20187,56.3,76.8
20189,59.6,73.2
20191,64.2,26.7
20193,56.3,73.9
20195,60.7,72.0
20197,65.1,60.9
20199,57.1,74.1
20201,63.2,63.4
20203,58.5,73.6
20205,65.2,44.3
20207,65.1,56.3
20209,65.4,50.1
21001,65.7,47.5
21003,66.8,43.9
21005,64.8,40.7
21007,67.3,47.9
21009,66.4,42.6
21011,64.5,50.0
21013,66.3,29.3
21015,63.9,27.7
21017,64.2,43.7
21019,64.3,44.4
21021,64.8,40.3
21023,64.2,39.1
21025,64.5,49.4
21027,65.5,32.4
21029,65.5,30.9
21031,66.7,47.6
21033,67.1,50.4
21035,67.7,52.3
21037,64.0,36.0
21039,67.4,45.4
21041,64.6,24.9
21043,64.5,43.1
21045,65.1,36.0
21047,67.4,40.5
21049,64.2,44.5
21051,65.2,41.7
21053,66.3,41.0
21055,66.9,52.2
21057,66.4,39.0
21059,66.1,49.9
21061,66.2,42.3
21063,64.5,42.9
21065,64.6,49.3
21067,64.3,47.7
21069,64.5,49.8
21071,63.5,39.8
21073,64.7,41.7
21075,67.8,41.9
21077,64.0,34.6
21079,64.7,42.1
21081,64.1,37.0
21083,67.5,54.7
21085,66.0,38.1
21087,65.9,35.8
21089,64.6,42.7
21091,65.7,37.4
21093,65.6,33.1
21095,66.3,29.3
21097,64.2,41.0
21099,66.0,37.6
21101,66.4,53.1
21103,64.9,37.1
21105,67.7,45.7
21107,66.8,49.5
21109,64.3,52.0
21111,65.3,32.8
21113,64.6,45.8
21115,63.7,40.5
21117,64.0,33.4
21119,64.6,47.0
21121,65.4,39.6
21123,65.5,32.3
21125,65.2,42.1
21127,64.0,41.7
21129,64.4,50.0
21131,65.1,42.7
21133,64.6,47.0
21135,64.5,49.3
21137,64.8,40.3
21139,67.0,53.5
21141,67.0,42.1
21143,67.1,51.1
21145,67.2,54.5
21147,65.4,39.2
21149,66.6,50.9
21151,64.7,42.9
21153,64.5,42.3
21155,65.2,34.1
21157,67.1,52.5
21159,63.6,39.9
21161,64.2,39.9
21163,65.6,32.6
21165,64.5,49.8
21167,64.7,41.7
21169,66.1,38.8
21171,66.4,39.7
21173,64.5,50.3
21175,64.5,43.0
21177,66.9,49.6
21179,65.5,31.7
21181,64.2,41.6
21183,66.2,49.1
21185,65.3,32.4
21187,64.1,39.4
